web-scraper-order,job_name,company_name,job_exp,job_salary,company_address,job_domain,job_working_hour,working_address,skills,hiring_amount
1751524979-1,Nhân Viên Business Analyst,Công ty Cổ phần Đầu tư Mobino,3 năm,Thoả thuận,"Tầng 6, 31 Thọ Tháp, Phường Dịch Vọng, Quận Cầu Giấy, TP Hà Nội",IT - Phần cứng,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 18:00)","380 Lạc Long Quân, Tây Hồ","SQL
                                    Phân tích dữ liệu
                                    Truyền Đạt Thông Tin
                                    Excel Nâng Cao
                                    Xây Dựng Mô Hình Dữ Liệu",1 người
1751524986-2,Business Analyst,CÔNG TY CỔ PHẦN TẬP ĐOÀN EVG,2 năm,16 - 22 triệu,"Tầng 5 tòa nhà Sannam, Số 78 phố Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)
                                                            Thứ 7 (từ 08:30 đến 12:00)","Tầng 5 tòa nhà Sannam, 78 Duy Tân, Cầu Giấy","phân tích yêu cầu
                                    Mô Hình Hóa Dữ Liệu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Quản Lý Dự Án",1 người
1751524993-3,Business Analyst (17 - 22 TRIỆU - HÀ NỘI),CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ GIÁO DỤC CHIP CHIP,2 năm,17 - 22 triệu,"Tầng 5, khách sạn thể thao, số 15 Lê Văn Thiêm, Thanh Xuân, Hà Nội.",Giáo dục / Đào tạo,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:15 đến 17:30)
                                                            Nghỉ Thứ 7, Chủ nhật","15 Lê Văn Thiêm, Thanh Xuân","Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu",1 người
1751524999-4,Business Analyst (BA),CÔNG TY TNHH KOOBIZ VIỆT NAM,2 năm,15 - 20 triệu,"Số 19, BT6, Đường 6E, khu đô thị Foresa Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Tư vấn,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 09:00 đến 17:00)"," Hà Nội: Phường Xuân Phương, Nam Từ Liêm","Thu Thập Và Phân Tích Dữ Liệu
                                    Phân Tích Yêu Cầu Nghiệp Vụ
                                    Giao Tiếp Hiệu Quả (trình Bày, Thuyết Trình)
                                    Mô Hình Hóa Quy Trình Nghiệp Vụ
                                    Soạn Thảo Tài Liệu (như Srs, Use Case, User Story)",1 người
1751525006-5,Senior Business Analyst / Chuyên Viên Phân Tích (BA) ( Thu Nhập Upto 30 Triệu +++),Công ty TNHH Công nghệ Thương mại và Dịch vụ Trí Nghĩa,3 năm,18 - 30 triệu,"Tầng 4 - Tòa nhà Lebuiding số 342 đường Mỹ Đình, Phường Mỹ Đình 1, quận Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:45)","Tầng 4 - Tòa nhà Lebuilding số 342 đường Mỹ Đình, Nam Từ Liêm",,5 người
1751525013-6,SAP SuccessFactors Consultant,Công Ty TNHH LG CNS VIỆT NAM,2 năm,Thoả thuận,"toà nhà Youngjin E&C Hải Phòng, Hồng Phong, An Dương, Hải Phòng, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","Tầng 15, Keangnam Landmark 72, Nam Từ Liêm",,1 người
1751525019-7,Phó Phòng Business Analyst,CÔNG TY CỔ PHẦN LIFETEX,2 năm,20 - 25 triệu,"Số 55 Ngách 99/110 Định Công Hạ, Tổ 16, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)
                                                            Thứ 2- Thứ 6: 8h-17h; Thứ7: 8-12h

Làm việc từ thứ 2 đến hết sáng t7","sảnh A tòa nhà HH2, số 15 Tố Hữu, Trung Văn, Nam Từ Liêm","Viết Báo Cáo
                                    Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Trình Bày Ý Tưởng",2 người
1751525026-8,Trưởng Phòng Business Analyst,CÔNG TY CỔ PHẦN LIFETEX,3 năm,25 - 35 triệu,"Số 55 Ngách 99/110 Định Công Hạ, Tổ 16, Phường Định Công, Quận Hoàng Mai, Thành phố Hà Nội, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)"," Hà Nội: HF2 Bắc Hà, Nhân Chính, Thanh Xuân","Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Viết Tài Liệu Kỹ Thuật
                                    Xây Dựng Và Quản Lý Yêu Cầu",1 người
1751525033-9,Nhân Viên Business Analyst (BA),CÔNG TY CỔ PHẦN TRUYỀN THÔNG VĂN HOÁ VIỆT,3 năm,15 - 20 triệu,"P322-324 Tháp đông, sàn TM, chung cư Học Viện Quốc Phòng, Xuân La, Tây Hồ, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 7 (từ 08:00 đến 17:30)
                                                            Nghỉ thứ 7 cách tuần","Tầng 3, Tòa Tháp Đông, Chung cư Học viện Quốc Phòng, Xuân La, Tây Hồ","Làm việc nhóm
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu",2 người
1751525039-10,Trưởng Nhóm Phân Tích Nghiệp Vụ Kỹ Thuật Số/Technical Business Analyst Lead - Khối Chuyển Đổi,Ngân hàng SHB,Trên 5 năm,Thoả thuận,"81 Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",Ngân hàng,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)",Hoàn Kiếm,"Phân tích dữ liệu
                                    Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Kỹ Năng Giao Tiếp Và Trình Bày
                                    Truy Xuất Dữ Liệu (sql, Excel)",1 người
